date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:07	188/188	------	200	untouched ('OK')	text/plain	etag:%22b61439cabd4b9842835db799ed831505%22	https://bigfontblog.azurewebsites.net/robots.txt		(from )
02:09:07	49797/49797	------	200	untouched ('OK')	text/html	etag:W/%22c285-+p4VkO4aFBsYXtM+5bRVzhEQikM%22	https://bigfontblog.azurewebsites.net/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/index.html	(from )
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:18%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w600/2022/08/drawing_circa_july_2022.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w600/2022/08/drawing_circa_july_2022.5.delayed	(from https://bigfontblog.azurewebsites.net/)
02:09:07	43174/43174	------	200	untouched ('OK')	text/css	etag:W/%22a8a6-16d11a658d6%22	https://bigfontblog.azurewebsites.net/assets/built/screen.css?v=3e32194df1	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/assets/built/screenc03d.css	(from https://bigfontblog.azurewebsites.net/)
02:09:07	34494/34494	------	200	untouched ('')	image/x-icon	etag:%2236e47e74810a0d8c32a77f495c49cf8e%22	https://bigfontblog.azurewebsites.net/favicon.ico	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/favicon.ico	(from https://bigfontblog.azurewebsites.net/)
02:09:07	746/746	------	200	untouched ('')	application/javascript	etag:%22bbd8b7ff92f2b275777dc3456452bc0c%22	https://bigfontblog.azurewebsites.net/public/ghost-sdk.min.js?v=3e32194df1	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/public/ghost-sdk.minc03d.js	(from https://bigfontblog.azurewebsites.net/)
02:09:07	50230/50230	------	200	untouched ('')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/dev/shaunluttin/website-archives/bigfont.ca/www.google-analytics.com/analytics.js	(from https://bigfontblog.azurewebsites.net/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:21%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w600/2022/04/219787656_571590897338872_541651510636316.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w600/2022/04/219787656_571590897338872_541651510636316.7.delayed	(from https://bigfontblog.azurewebsites.net/)
02:09:07	28957/28957	------	200	untouched ('')	image/jpeg	etag:W/%22711d-16d0d8c7d70%22	https://bigfontblog.azurewebsites.net/content/images/size/w1000/2016/10/business_casual_cropped_square.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w1000/2016/10/business_casual_cropped_square.jpg	(from https://bigfontblog.azurewebsites.net/)
02:09:07	11218/11218	------	200	untouched ('OK')	text/html	etag:W/%222bd2-s2OPuiz5bVECW4Xrgt3Dlra/AMA%22	https://bigfontblog.azurewebsites.net/about/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/about/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	13065/13065	------	200	untouched ('OK')	text/html	etag:W/%223309-I6JO4CDdYG9O9eHgcDr7ExmAnXM%22	https://bigfontblog.azurewebsites.net/work-bibliography/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/work-bibliography/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	18238/18238	------	200	untouched ('OK')	text/html	etag:W/%22473e-J8bzGJUcs0Dnv1vSepoQlx28eso%22	https://bigfontblog.azurewebsites.net/i-have-started-formatting-code-locally-with-csharpier-for-my-own-read-mode-during-local-development/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/i-have-started-formatting-code-locally-with-csharpier-for-my-own-read-mode-during-local-development/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:22%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w600/2021/12/geograph-4453746-by-Kenneth--Allen.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w600/2021/12/geograph-4453746-by-Kenneth--Allen.9.delayed	(from https://bigfontblog.azurewebsites.net/)
02:09:07	49818/49818	------	200	untouched ('OK')	text/html	etag:W/%22c29a-Myud0darcMx82oYoKvCcVulsoM8%22	https://bigfontblog.azurewebsites.net/author/shaun/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/author/shaun/index.html	(from https://bigfontblog.azurewebsites.net/)
