date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:18:16	5913/5913	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:14%20GMT	http://www.singularbiogenics.com/	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/index.html	(from )
03:18:16	4854/4854	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Dec%202022%2011:18:14%20GMT	http://www.singularbiogenics.com/robots.txt		(from )
03:18:17	108272/108272	---M-Z	200	added ('OK')	text/css	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css	(from http://www.singularbiogenics.com/)
03:18:17	98339/98339	---M-Z	200	added ('OK')	text/css	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/Styles/Site.min.css	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/Styles/Site.min.css	(from http://www.singularbiogenics.com/)
03:18:17	164/164	---M-Z	200	added ('OK')	text/css	etag:%2211a070fb6cd3cf1:0%22	http://www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap/Styles/Theme.min.css	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap/Styles/Theme.min.css	(from http://www.singularbiogenics.com/)
03:18:18	13090/13090	---M--	200	added ('OK')	image/x-icon	etag:%2211a070fb6cd3cf1:0%22	http://www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap//Content/favicon.ico	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap/Content/favicon.ico	(from http://www.singularbiogenics.com/)
03:18:20	5015/5015	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:18%20GMT	http://www.singularbiogenics.com/page-placeholder	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/page-placeholder.html	(from http://www.singularbiogenics.com/)
03:18:20	54896/54896	---M--	200	added ('OK')	image/jpeg	etag:%2211a070fb6cd3cf1:0%22	http://www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap/Content/Logo.jpg	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap/Content/Logo.jpg	(from http://www.singularbiogenics.com/)
03:18:21	34002/34002	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:19%20GMT	http://www.singularbiogenics.com/high-density-algae-technology	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/high-density-algae-technology.html	(from http://www.singularbiogenics.com/)
03:18:22	26297/26297	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:21%20GMT	http://www.singularbiogenics.com/mussel-aquaculture-technology	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/mussel-aquaculture-technology.html	(from http://www.singularbiogenics.com/)
03:18:24	129757/129757	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:22%20GMT	http://www.singularbiogenics.com/high-density-algae	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/high-density-algae.html	(from http://www.singularbiogenics.com/)
03:18:25	129851/129851	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:23%20GMT	http://www.singularbiogenics.com/mussel-aquaculture-summary	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/mussel-aquaculture-summary.html	(from http://www.singularbiogenics.com/)
03:18:25	45080/45080	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:24%20GMT	http://www.singularbiogenics.com/matthew-salo	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/matthew-salo.html	(from http://www.singularbiogenics.com/)
03:18:27	5094/5094	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:25%20GMT	http://www.singularbiogenics.com/contact	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/contact.html	(from http://www.singularbiogenics.com/)
03:18:28	5910/5910	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:27%20GMT	http://www.singularbiogenics.com/Users/Account/LogOn?ReturnUrl=%2F	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Users/Account/LogOn650d.html	(from http://www.singularbiogenics.com/)
03:18:29	92633/92633	---M-Z	200	added ('OK')	application/x-javascript	etag:%2204475d8f291ce1:0%22	http://www.singularbiogenics.com/Modules/Orchard.jQuery/scripts/jquery-1.9.1.min.js	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Modules/Orchard.jQuery/scripts/jquery-1.9.1.min.js	(from http://www.singularbiogenics.com/)
03:18:29	31824/31824	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/scripts/bootstrap.min.js	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/scripts/bootstrap.min.js	(from http://www.singularbiogenics.com/)
03:18:30	7/7	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/scripts/theme.js	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/scripts/theme.js	(from http://www.singularbiogenics.com/)
03:18:31	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.eot	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css)
03:18:31	23320/23320	---M--	200	added ('OK')	font/x-woff	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.woff	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css)
