date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:11	146/146	---MCZ	200	added ('OK')	text/plain	etag:%221d43418211d131c%22	https://socialarts.club/robots.txt		(from )
00:12:11	4407/4407	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:10%20GMT	https://socialarts.club/	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/index.html	(from )
00:12:11	758/758	---MCZ	200	added ('OK')	text/css	etag:%221d52d21fa12b976%22	https://socialarts.club/site.css	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/site.css	(from https://socialarts.club/)
00:12:12	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/dev/shaunluttin/website-archives/socialarts.club/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://socialarts.club/)
00:12:12	4060/4060	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:11%20GMT	https://socialarts.club/Contact	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/Contact.html	(from https://socialarts.club/)
00:12:13	5078/5078	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:12%20GMT	https://socialarts.club/References	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/References.html	(from https://socialarts.club/)
00:12:14	6938/6938	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:13%20GMT	https://socialarts.club/Tools/AssertivenessScorecard	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/Tools/AssertivenessScorecard.html	(from https://socialarts.club/)
00:12:14	7280/7280	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:13%20GMT	https://socialarts.club/Tools/CostBenefitAnalysis	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/Tools/CostBenefitAnalysis.html	(from https://socialarts.club/)
00:12:14	7554/7554	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:13%20GMT	https://socialarts.club/Tools/PeopleAreDoingTheBestTheyCan	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/Tools/PeopleAreDoingTheBestTheyCan.html	(from https://socialarts.club/)
00:12:14	5893/5893	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:13%20GMT	https://socialarts.club/Tools/PersonalGrownJournal	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/Tools/PersonalGrownJournal.html	(from https://socialarts.club/)
00:12:14	6406/6406	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:13%20GMT	https://socialarts.club/Tools/RealityQuestions	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/Tools/RealityQuestions.html	(from https://socialarts.club/)
00:12:14	5442/5442	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:14%20GMT	https://socialarts.club/Tools/WholeMessages	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/Tools/WholeMessages.html	(from https://socialarts.club/)
00:12:15	7296/7296	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2008:12:14%20GMT	https://socialarts.club/Identity/Account/Login	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/Identity/Account/Login.html	(from https://socialarts.club/)
00:12:15	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/dev/shaunluttin/website-archives/socialarts.club/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://socialarts.club/)
00:12:16	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/dev/shaunluttin/website-archives/socialarts.club/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://socialarts.club/)
00:12:16	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/dev/shaunluttin/website-archives/socialarts.club/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://socialarts.club/)
00:12:16	122/122	---MCZ	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2008:12:15%20GMT	https://unpkg.com/react@16/umd/react.development.js	C:/dev/shaunluttin/website-archives/socialarts.club/unpkg.com/react@16/umd/react.development.e.delayed	(from https://socialarts.club/)
00:12:17	105138/105138	---MCZ	200	added ('OK')	application/javascript	etag:%2219ab2-C3Ua5vRzx2zwS6KGmZnWTqCvuYU%22	https://unpkg.com/react@16.14.0/umd/react.development.js	C:/dev/shaunluttin/website-archives/socialarts.club/unpkg.com/react@16.14.0/umd/react.development.js	(from https://socialarts.club/)
00:12:17	138/138	---MCZ	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2008:12:16%20GMT	https://unpkg.com/react-dom@16/umd/react-dom.development.js	C:/dev/shaunluttin/website-archives/socialarts.club/unpkg.com/react-dom@16/umd/react-dom.development.js	(from https://socialarts.club/)
00:12:17	906292/906292	---MCZ	200	added ('OK')	application/javascript	etag:%22dd434-exTRzpXSEqHSt1xW0+dTBBSHbIk%22	https://unpkg.com/react-dom@16.14.0/umd/react-dom.development.js	C:/dev/shaunluttin/website-archives/socialarts.club/unpkg.com/react-dom@16.14.0/umd/react-dom.development.js	(from https://socialarts.club/)
00:12:17	1860/1860	---MCZ	200	added ('OK')	application/javascript	etag:%221d5424f20f3da44%22	https://socialarts.club/react-components/bundle.js	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/react-components/bundle.js	(from https://socialarts.club/)
00:12:18	7383/7383	---M--	200	added ('OK')	image/png	etag:%221d43448bf28cd57%22	https://socialarts.club/images/contact-email.png	C:/dev/shaunluttin/website-archives/socialarts.club/socialarts.club/images/contact-email.png	(from https://socialarts.club/Contact)
